Antlo	Antonospora locustae  Microsporidia
Aspfu1	Aspergillus fumigatus	Pezizomycotina
Aurde1	Auricularia delicata	Agaricomycotina
Batde5	Batrachochytrium dendrobatidis	Chytridiomycota
Botbo1	Botryobasidium botryosum	Agaricomycotina
Botci	Botrytis cinerea	Leotiomycetes
Botfu	Bot unknown	Leotiomycetes
Canal	Candida albicans	Saccharomycotina
Cangl	Candida glabrata	Saccharomycotina
CocheC5_3	Cochliobolus heterostrophus	Dothideomycetes
Coere1	Coemansia reversa	Kickxellomycota
Conco1	Conidiobolus coronatus	Entomophtoromycotina
Conpu1	Coniophora puteana	Agaricomycotina
Croqu1	Cronartium quercuum	Pucciniomycotina
Crypa1	Cryphonectria parasitica	Pezizomycotina
Cryne_H99_1	Cryptococcus neoformans	Agaricomycotina
Debha	Debaryomyces hanseni	Saccharomycotina
Dekbr2	Dekkera bruxellensis	Saccharomycotina
Dicdi	Dictyostelium discoideum	Amoebozoa
Enccu	Encephalitozoon cuniculi	Microsporidia
Enthi	Entamoeba histolytica	Amoebozoa
Erego	Eremothecium gossypii	Saccharomycotina
Exode	Exophiala dermatitidis	Pezizomycotina
Fomme1	Fomitiporia mediterranea	Agaricomycotina
Fompi3	Fomitopsis pinicola	Agaricomycotina
Fusgr	Fusarium graminearum	Pezizomycotina
Galma1	Galerina marginata	Agaricomycotina
Hisca	Histoplasma capsulatum	Pezizomycotina
Klula	Kluyveromyces lactis	Saccharomycotina
Lacbi2	Laccaria bicolor	Agaricomycotina
Malgl1	Malessezia globosa	Ustilaginomycotina
Mellp1	Melampsora laricis-populina	Pucciniomycotina
Mixos1	Mixia osmundae	Pucciniomycotina
Monbr	Monosiga brevicollis	Choanoflagellata
Morel1	Mortierella elongata	Zygomycota
Mucci2	Mucor circinelloides	Zygomycota
Neucr	Neurospora crassa	Pezizomycotina
Pench1	Penicillium chrysogenum	Pezizomycotina
Phybl2	Phycomyces blakesleeanus	Zygomycota
Picst3	Pichia stipitis	Saccharomycotina
Plicr1	Plicaturopsis crispa	Agaricomycotina
Pucgr1	Puccinia graminis	Pucciniomycotina
Punst1	Punctularia strigosozonata	Agaricomycotina
Rhoba1_1	Rhodosporidium toruloides 	Pucciniomycotina
Rhoto	Rhodotorula graminis	Pucciniomycotina
Sacce1	Saccharomyces cerevisiae	Saccharomycotina
Salro	Salpingloea rosetta	Choanoflagellata
Schpo1	Schizosaccharomyces pombe	Taphrinomycotina
Spipu	Spizellomyces punctatus	Chytridiomycota
Sporo1	Sporobolomyces roseus	Pucciniomycotina
Stehi1	Stereum hirsutum	Agaricomycotina
Symko1	Symbiotaphrina kochii	Pezizomycotina
Thetr	Thecamonas trahens	Apusozoa
Traho	Trachipleistophora hominis	Microsporidia
Treme1	Tremella mesenterica	Agaricomycotina
Trire2	Trichoderma reesei	Pezizomycotina
Ustma1	Ustilago maydis	Ustilaginomycotina
Walse1	Wallemia sebi	Wallemiomycetes
Yarli1	Yarrowia lipolytica	Saccharomycotina
Zygro	Zygosaccharomyces rouxii	Saccharomycotina
